image,label,client,split
cifar10/cifar10/train/horse/25554_horse.png,7,9,valid
cifar10/cifar10/train/horse/14738_horse.png,7,9,train
cifar10/cifar10/train/horse/7682_horse.png,7,8,train
cifar10/cifar10/train/horse/49183_horse.png,7,6,train
cifar10/cifar10/train/horse/23000_horse.png,7,5,valid
cifar10/cifar10/train/horse/30852_horse.png,7,4,train
cifar10/cifar10/train/horse/49731_horse.png,7,9,train
cifar10/cifar10/train/horse/33495_horse.png,7,0,valid
cifar10/cifar10/train/horse/7940_horse.png,7,0,train
cifar10/cifar10/train/horse/7023_horse.png,7,9,train
cifar10/cifar10/train/horse/20681_horse.png,7,0,valid
cifar10/cifar10/train/horse/35511_horse.png,7,4,valid
cifar10/cifar10/train/horse/34332_horse.png,7,5,train
cifar10/cifar10/train/horse/37405_horse.png,7,5,train
cifar10/cifar10/train/horse/6726_horse.png,7,0,train
cifar10/cifar10/train/horse/25948_horse.png,7,9,valid
cifar10/cifar10/train/horse/35329_horse.png,7,3,valid
cifar10/cifar10/train/horse/49986_horse.png,7,8,train
cifar10/cifar10/train/horse/46709_horse.png,7,9,valid
cifar10/cifar10/train/horse/11656_horse.png,7,3,train
cifar10/cifar10/train/horse/4427_horse.png,7,7,valid
cifar10/cifar10/train/horse/5784_horse.png,7,4,valid
cifar10/cifar10/train/horse/18091_horse.png,7,3,valid
cifar10/cifar10/train/horse/21601_horse.png,7,9,train
cifar10/cifar10/train/horse/18781_horse.png,7,5,train
cifar10/cifar10/train/horse/44278_horse.png,7,9,train
cifar10/cifar10/train/horse/30805_horse.png,7,3,train
cifar10/cifar10/train/horse/46283_horse.png,7,3,valid
cifar10/cifar10/train/horse/33045_horse.png,7,3,valid
cifar10/cifar10/train/horse/17181_horse.png,7,9,train
cifar10/cifar10/train/horse/22327_horse.png,7,2,train
cifar10/cifar10/train/horse/31336_horse.png,7,1,train
cifar10/cifar10/train/horse/7986_horse.png,7,7,valid
cifar10/cifar10/train/horse/22526_horse.png,7,0,train
cifar10/cifar10/train/horse/478_horse.png,7,0,train
cifar10/cifar10/train/horse/16040_horse.png,7,9,train
cifar10/cifar10/train/horse/48815_horse.png,7,6,train
cifar10/cifar10/train/horse/5597_horse.png,7,9,train
cifar10/cifar10/train/horse/31573_horse.png,7,7,train
cifar10/cifar10/train/horse/35056_horse.png,7,3,train
cifar10/cifar10/train/horse/24141_horse.png,7,9,valid
cifar10/cifar10/train/horse/2614_horse.png,7,9,train
cifar10/cifar10/train/horse/44664_horse.png,7,2,train
cifar10/cifar10/train/horse/35729_horse.png,7,0,valid
cifar10/cifar10/train/horse/36831_horse.png,7,4,train
cifar10/cifar10/train/horse/24368_horse.png,7,8,valid
cifar10/cifar10/train/horse/14837_horse.png,7,8,train
cifar10/cifar10/train/horse/26104_horse.png,7,4,valid
cifar10/cifar10/train/horse/19849_horse.png,7,4,valid
cifar10/cifar10/train/horse/7863_horse.png,7,0,train
cifar10/cifar10/train/horse/21302_horse.png,7,0,train
cifar10/cifar10/train/horse/41735_horse.png,7,9,valid
cifar10/cifar10/train/horse/37787_horse.png,7,4,train
cifar10/cifar10/train/horse/5269_horse.png,7,3,train
cifar10/cifar10/train/horse/36133_horse.png,7,0,valid
cifar10/cifar10/train/horse/41129_horse.png,7,9,train
cifar10/cifar10/train/horse/34520_horse.png,7,4,train
cifar10/cifar10/train/horse/25553_horse.png,7,4,train
cifar10/cifar10/train/horse/16171_horse.png,7,7,train
cifar10/cifar10/train/horse/45087_horse.png,7,8,train
cifar10/cifar10/train/horse/9443_horse.png,7,1,valid
cifar10/cifar10/train/horse/45874_horse.png,7,4,train
cifar10/cifar10/train/horse/11203_horse.png,7,5,train
cifar10/cifar10/train/horse/22520_horse.png,7,5,train
cifar10/cifar10/train/horse/9473_horse.png,7,2,train
cifar10/cifar10/train/horse/39408_horse.png,7,0,valid
cifar10/cifar10/train/horse/9628_horse.png,7,4,train
cifar10/cifar10/train/horse/38265_horse.png,7,7,valid
cifar10/cifar10/train/horse/230_horse.png,7,9,train
cifar10/cifar10/train/horse/36203_horse.png,7,4,valid
cifar10/cifar10/train/horse/7666_horse.png,7,2,valid
cifar10/cifar10/train/horse/5890_horse.png,7,4,train
cifar10/cifar10/train/horse/37292_horse.png,7,0,train
cifar10/cifar10/train/horse/40464_horse.png,7,9,valid
cifar10/cifar10/train/horse/13280_horse.png,7,7,train
cifar10/cifar10/train/horse/49815_horse.png,7,3,train
cifar10/cifar10/train/horse/10916_horse.png,7,8,train
cifar10/cifar10/train/horse/33048_horse.png,7,9,train
cifar10/cifar10/train/horse/20249_horse.png,7,0,valid
cifar10/cifar10/train/horse/23304_horse.png,7,9,train
cifar10/cifar10/train/horse/9329_horse.png,7,3,train
cifar10/cifar10/train/horse/35865_horse.png,7,9,train
cifar10/cifar10/train/horse/43833_horse.png,7,2,train
cifar10/cifar10/train/horse/6699_horse.png,7,7,train
cifar10/cifar10/train/horse/25269_horse.png,7,2,train
cifar10/cifar10/train/horse/36352_horse.png,7,9,valid
cifar10/cifar10/train/horse/44986_horse.png,7,6,train
cifar10/cifar10/train/horse/11570_horse.png,7,9,train
cifar10/cifar10/train/horse/23903_horse.png,7,7,train
cifar10/cifar10/train/horse/12365_horse.png,7,8,train
cifar10/cifar10/train/horse/15317_horse.png,7,8,train
cifar10/cifar10/train/horse/28566_horse.png,7,2,valid
cifar10/cifar10/train/horse/16300_horse.png,7,5,train
cifar10/cifar10/train/horse/38749_horse.png,7,2,train
cifar10/cifar10/train/horse/37520_horse.png,7,9,train
cifar10/cifar10/train/horse/40182_horse.png,7,7,train
cifar10/cifar10/train/horse/10823_horse.png,7,9,train
cifar10/cifar10/train/horse/2715_horse.png,7,9,train
cifar10/cifar10/train/horse/49939_horse.png,7,4,train
cifar10/cifar10/train/horse/7809_horse.png,7,0,train
cifar10/cifar10/train/horse/44000_horse.png,7,1,valid
cifar10/cifar10/train/horse/1135_horse.png,7,4,valid
cifar10/cifar10/train/horse/3958_horse.png,7,2,train
cifar10/cifar10/train/horse/49141_horse.png,7,7,valid
cifar10/cifar10/train/horse/33763_horse.png,7,7,train
cifar10/cifar10/train/horse/8745_horse.png,7,1,train
cifar10/cifar10/train/horse/23675_horse.png,7,9,train
cifar10/cifar10/train/horse/31992_horse.png,7,9,valid
cifar10/cifar10/train/horse/30797_horse.png,7,4,train
cifar10/cifar10/train/horse/23204_horse.png,7,0,train
cifar10/cifar10/train/horse/16550_horse.png,7,2,valid
cifar10/cifar10/train/horse/49377_horse.png,7,8,train
cifar10/cifar10/train/horse/28553_horse.png,7,2,train
cifar10/cifar10/train/horse/4218_horse.png,7,0,train
cifar10/cifar10/train/horse/24930_horse.png,7,9,valid
cifar10/cifar10/train/horse/29365_horse.png,7,9,train
cifar10/cifar10/train/horse/211_horse.png,7,0,valid
cifar10/cifar10/train/horse/47249_horse.png,7,6,valid
cifar10/cifar10/train/horse/23402_horse.png,7,3,valid
cifar10/cifar10/train/horse/22031_horse.png,7,9,valid
cifar10/cifar10/train/horse/16376_horse.png,7,4,train
cifar10/cifar10/train/horse/48237_horse.png,7,2,train
cifar10/cifar10/train/horse/33397_horse.png,7,4,train
cifar10/cifar10/train/horse/29823_horse.png,7,6,valid
cifar10/cifar10/train/horse/36260_horse.png,7,0,train
cifar10/cifar10/train/horse/23778_horse.png,7,6,train
cifar10/cifar10/train/horse/15344_horse.png,7,2,train
cifar10/cifar10/train/horse/46797_horse.png,7,3,valid
