path,label,client,split
fmnist/train/Sneaker/8526.jpg,7,9,train
fmnist/train/Sneaker/6482.jpg,7,1,valid
fmnist/train/Sneaker/53191.jpg,7,1,train
fmnist/train/Sneaker/49844.jpg,7,3,train
fmnist/train/Sneaker/48904.jpg,7,1,train
fmnist/train/Sneaker/35395.jpg,7,0,train
fmnist/train/Sneaker/47828.jpg,7,0,train
fmnist/train/Sneaker/36727.jpg,7,0,train
fmnist/train/Sneaker/31693.jpg,7,0,train
fmnist/train/Sneaker/16179.jpg,7,4,train
fmnist/train/Sneaker/10538.jpg,7,6,train
fmnist/train/Sneaker/15322.jpg,7,5,train
fmnist/train/Sneaker/42098.jpg,7,6,train
fmnist/train/Sneaker/17440.jpg,7,4,valid
fmnist/train/Sneaker/19104.jpg,7,8,train
fmnist/train/Sneaker/56561.jpg,7,3,valid
fmnist/train/Sneaker/19068.jpg,7,4,train
fmnist/train/Sneaker/20467.jpg,7,5,train
fmnist/train/Sneaker/24332.jpg,7,9,train
fmnist/train/Sneaker/40069.jpg,7,0,train
fmnist/train/Sneaker/2332.jpg,7,9,train
fmnist/train/Sneaker/40782.jpg,7,2,train
fmnist/train/Sneaker/28854.jpg,7,9,train
fmnist/train/Sneaker/12755.jpg,7,8,train
fmnist/train/Sneaker/50797.jpg,7,4,train
fmnist/train/Sneaker/37632.jpg,7,1,valid
fmnist/train/Sneaker/39701.jpg,7,9,valid
fmnist/train/Sneaker/29013.jpg,7,9,train
fmnist/train/Sneaker/26339.jpg,7,1,valid
fmnist/train/Sneaker/246.jpg,7,0,valid
fmnist/train/Sneaker/36699.jpg,7,5,train
fmnist/train/Sneaker/22995.jpg,7,4,train
fmnist/train/Sneaker/53801.jpg,7,8,valid
fmnist/train/Sneaker/22165.jpg,7,9,train
fmnist/train/Sneaker/27622.jpg,7,9,valid
fmnist/train/Sneaker/12658.jpg,7,0,train
fmnist/train/Sneaker/39908.jpg,7,0,train
fmnist/train/Sneaker/17085.jpg,7,0,train
fmnist/train/Sneaker/43088.jpg,7,0,train
fmnist/train/Sneaker/20939.jpg,7,1,train
fmnist/train/Sneaker/35722.jpg,7,9,train
fmnist/train/Sneaker/52564.jpg,7,3,train
fmnist/train/Sneaker/12896.jpg,7,3,train
fmnist/train/Sneaker/3214.jpg,7,2,train
fmnist/train/Sneaker/20846.jpg,7,0,train
fmnist/train/Sneaker/58276.jpg,7,1,train
fmnist/train/Sneaker/12242.jpg,7,8,train
fmnist/train/Sneaker/46181.jpg,7,1,valid
fmnist/train/Sneaker/29415.jpg,7,6,train
fmnist/train/Sneaker/52924.jpg,7,9,train
fmnist/train/Sneaker/2711.jpg,7,9,valid
fmnist/train/Sneaker/5240.jpg,7,4,valid
fmnist/train/Sneaker/59146.jpg,7,9,valid
fmnist/train/Sneaker/17023.jpg,7,1,valid
fmnist/train/Sneaker/59542.jpg,7,1,train
fmnist/train/Sneaker/2547.jpg,7,6,train
fmnist/train/Sneaker/19125.jpg,7,5,train
fmnist/train/Sneaker/16643.jpg,7,4,train
fmnist/train/Sneaker/7287.jpg,7,1,valid
fmnist/train/Sneaker/23340.jpg,7,3,train
fmnist/train/Sneaker/18098.jpg,7,4,valid
fmnist/train/Sneaker/41691.jpg,7,6,valid
fmnist/train/Sneaker/38806.jpg,7,9,train
fmnist/train/Sneaker/16523.jpg,7,0,train
fmnist/train/Sneaker/5915.jpg,7,4,valid
fmnist/train/Sneaker/56982.jpg,7,5,train
fmnist/train/Sneaker/35279.jpg,7,4,train
fmnist/train/Sneaker/1300.jpg,7,1,train
fmnist/train/Sneaker/57596.jpg,7,2,train
fmnist/train/Sneaker/34516.jpg,7,4,train
fmnist/train/Sneaker/42074.jpg,7,9,train
fmnist/train/Sneaker/44532.jpg,7,3,valid
fmnist/train/Sneaker/18329.jpg,7,4,train
fmnist/train/Sneaker/7066.jpg,7,9,train
fmnist/train/Sneaker/55543.jpg,7,0,train
fmnist/train/Sneaker/36026.jpg,7,8,train
fmnist/train/Sneaker/12383.jpg,7,2,train
fmnist/train/Sneaker/51384.jpg,7,5,train
fmnist/train/Sneaker/16154.jpg,7,9,train
fmnist/train/Sneaker/13676.jpg,7,6,train
fmnist/train/Sneaker/1462.jpg,7,8,train
fmnist/train/Sneaker/52203.jpg,7,9,train
fmnist/train/Sneaker/15461.jpg,7,4,train
fmnist/train/Sneaker/46389.jpg,7,0,train
fmnist/train/Sneaker/58779.jpg,7,3,valid
fmnist/train/Sneaker/31505.jpg,7,8,train
fmnist/train/Sneaker/21510.jpg,7,3,train
fmnist/train/Sneaker/22702.jpg,7,9,train
fmnist/train/Sneaker/54107.jpg,7,9,train
fmnist/train/Sneaker/7057.jpg,7,3,train
fmnist/train/Sneaker/16323.jpg,7,2,train
fmnist/train/Sneaker/20583.jpg,7,3,train
fmnist/train/Sneaker/29336.jpg,7,7,train
fmnist/train/Sneaker/41414.jpg,7,1,train
fmnist/train/Sneaker/48204.jpg,7,5,train
fmnist/train/Sneaker/19553.jpg,7,4,train
fmnist/train/Sneaker/41561.jpg,7,6,train
fmnist/train/Sneaker/29954.jpg,7,1,valid
fmnist/train/Sneaker/30246.jpg,7,8,valid
fmnist/train/Sneaker/8798.jpg,7,3,train
fmnist/train/Sneaker/37323.jpg,7,4,train
fmnist/train/Sneaker/52937.jpg,7,8,train
fmnist/train/Sneaker/16627.jpg,7,4,train
fmnist/train/Sneaker/53812.jpg,7,0,train
fmnist/train/Sneaker/11191.jpg,7,8,train
fmnist/train/Sneaker/52207.jpg,7,8,valid
fmnist/train/Sneaker/20037.jpg,7,3,train
fmnist/train/Sneaker/28266.jpg,7,6,train
fmnist/train/Sneaker/28516.jpg,7,8,valid
fmnist/train/Sneaker/34827.jpg,7,6,valid
fmnist/train/Sneaker/35613.jpg,7,3,valid
fmnist/train/Sneaker/35111.jpg,7,1,valid
fmnist/train/Sneaker/27453.jpg,7,1,train
fmnist/train/Sneaker/22118.jpg,7,2,valid
fmnist/train/Sneaker/47510.jpg,7,8,valid
fmnist/train/Sneaker/43498.jpg,7,8,valid
fmnist/train/Sneaker/4790.jpg,7,8,train
fmnist/train/Sneaker/5055.jpg,7,0,train
fmnist/train/Sneaker/23045.jpg,7,4,train
fmnist/train/Sneaker/40298.jpg,7,8,valid
fmnist/train/Sneaker/13488.jpg,7,5,train
fmnist/train/Sneaker/48585.jpg,7,4,train
fmnist/train/Sneaker/3361.jpg,7,3,train
fmnist/train/Sneaker/35063.jpg,7,1,train
fmnist/train/Sneaker/28101.jpg,7,4,valid
fmnist/train/Sneaker/32412.jpg,7,0,train
fmnist/train/Sneaker/8062.jpg,7,3,valid
fmnist/train/Sneaker/24012.jpg,7,0,train
fmnist/train/Sneaker/1998.jpg,7,4,valid
fmnist/train/Sneaker/4505.jpg,7,9,train
fmnist/train/Sneaker/58989.jpg,7,4,train
fmnist/train/Sneaker/33565.jpg,7,0,train
fmnist/train/Sneaker/2045.jpg,7,3,train
fmnist/train/Sneaker/46496.jpg,7,0,valid
fmnist/train/Sneaker/10708.jpg,7,0,train
fmnist/train/Sneaker/1606.jpg,7,1,valid
fmnist/train/Sneaker/38266.jpg,7,0,train
fmnist/train/Sneaker/17008.jpg,7,7,train
fmnist/train/Sneaker/37951.jpg,7,0,valid
fmnist/train/Sneaker/14470.jpg,7,1,valid
fmnist/train/Sneaker/30708.jpg,7,2,train
fmnist/train/Sneaker/32838.jpg,7,8,train
fmnist/train/Sneaker/51699.jpg,7,0,train
fmnist/train/Sneaker/11032.jpg,7,6,train
fmnist/train/Sneaker/8414.jpg,7,8,train
fmnist/train/Sneaker/42105.jpg,7,0,train
fmnist/train/Sneaker/24377.jpg,7,4,train
fmnist/train/Sneaker/14624.jpg,7,7,train
fmnist/train/Sneaker/27645.jpg,7,1,train
fmnist/train/Sneaker/38153.jpg,7,5,valid
fmnist/train/Sneaker/59314.jpg,7,4,train
fmnist/train/Sneaker/40810.jpg,7,4,train
fmnist/train/Sneaker/55330.jpg,7,3,train
fmnist/train/Sneaker/57148.jpg,7,8,valid
fmnist/train/Sneaker/21937.jpg,7,2,train
fmnist/train/Sneaker/17342.jpg,7,6,train
fmnist/train/Sneaker/4670.jpg,7,8,valid
fmnist/train/Sneaker/51759.jpg,7,6,valid
fmnist/train/Sneaker/3401.jpg,7,6,valid
fmnist/train/Sneaker/52469.jpg,7,9,train
fmnist/train/Sneaker/53030.jpg,7,3,train
fmnist/train/Sneaker/21091.jpg,7,6,train
fmnist/train/Sneaker/56746.jpg,7,8,train
fmnist/train/Sneaker/47945.jpg,7,0,train
fmnist/train/Sneaker/8201.jpg,7,3,valid
fmnist/train/Sneaker/7101.jpg,7,3,train
fmnist/train/Sneaker/43921.jpg,7,5,train
fmnist/train/Sneaker/57630.jpg,7,1,train
fmnist/train/Sneaker/38708.jpg,7,4,train
fmnist/train/Sneaker/19089.jpg,7,5,valid
fmnist/train/Sneaker/52454.jpg,7,4,train
fmnist/train/Sneaker/2518.jpg,7,9,valid
fmnist/train/Sneaker/52026.jpg,7,9,valid
fmnist/train/Sneaker/18033.jpg,7,9,train
fmnist/train/Sneaker/41991.jpg,7,3,train
fmnist/train/Sneaker/2083.jpg,7,0,valid
fmnist/train/Sneaker/42008.jpg,7,3,valid
fmnist/train/Sneaker/59748.jpg,7,4,train
fmnist/train/Sneaker/35654.jpg,7,3,valid
fmnist/train/Sneaker/45175.jpg,7,4,train
fmnist/train/Sneaker/9713.jpg,7,9,train
fmnist/train/Sneaker/39923.jpg,7,4,train
fmnist/train/Sneaker/4913.jpg,7,3,valid
fmnist/train/Sneaker/22479.jpg,7,2,train
fmnist/train/Sneaker/8004.jpg,7,4,valid
fmnist/train/Sneaker/1955.jpg,7,2,train
fmnist/train/Sneaker/9299.jpg,7,0,train
fmnist/train/Sneaker/9764.jpg,7,5,train
fmnist/train/Sneaker/13003.jpg,7,5,valid
fmnist/train/Sneaker/30578.jpg,7,8,train
fmnist/train/Sneaker/19620.jpg,7,6,train
fmnist/train/Sneaker/45378.jpg,7,5,train
fmnist/train/Sneaker/33483.jpg,7,9,train
fmnist/train/Sneaker/47130.jpg,7,6,valid
fmnist/train/Sneaker/35479.jpg,7,9,train
fmnist/train/Sneaker/35020.jpg,7,8,train
fmnist/train/Sneaker/44319.jpg,7,1,train
fmnist/train/Sneaker/6163.jpg,7,5,train
fmnist/train/Sneaker/55160.jpg,7,4,train
fmnist/train/Sneaker/44021.jpg,7,9,train
fmnist/train/Sneaker/33000.jpg,7,5,train
fmnist/train/Sneaker/22451.jpg,7,9,train
fmnist/train/Sneaker/38158.jpg,7,9,valid
fmnist/train/Sneaker/50238.jpg,7,4,valid
fmnist/train/Sneaker/5096.jpg,7,3,train
fmnist/train/Sneaker/2284.jpg,7,4,train
fmnist/train/Sneaker/13644.jpg,7,3,train
fmnist/train/Sneaker/10196.jpg,7,4,train
fmnist/train/Sneaker/6404.jpg,7,8,train
fmnist/train/Sneaker/20119.jpg,7,3,train
fmnist/train/Sneaker/40061.jpg,7,3,train
fmnist/train/Sneaker/6707.jpg,7,1,valid
fmnist/train/Sneaker/28755.jpg,7,6,valid
fmnist/train/Sneaker/42745.jpg,7,6,valid
fmnist/train/Sneaker/14281.jpg,7,3,valid
fmnist/train/Sneaker/55878.jpg,7,0,valid
fmnist/train/Sneaker/33408.jpg,7,7,train
fmnist/train/Sneaker/40884.jpg,7,4,train
fmnist/train/Sneaker/17444.jpg,7,4,valid
fmnist/train/Sneaker/36117.jpg,7,9,valid
fmnist/train/Sneaker/27218.jpg,7,3,train
fmnist/train/Sneaker/28161.jpg,7,8,train
fmnist/train/Sneaker/52259.jpg,7,3,train
fmnist/train/Sneaker/54480.jpg,7,4,train
fmnist/train/Sneaker/3564.jpg,7,4,valid
fmnist/train/Sneaker/22572.jpg,7,6,train
fmnist/train/Sneaker/29587.jpg,7,9,train
fmnist/train/Sneaker/36656.jpg,7,6,valid
fmnist/train/Sneaker/23437.jpg,7,6,train
fmnist/train/Sneaker/19881.jpg,7,0,train
fmnist/train/Sneaker/10768.jpg,7,3,valid
fmnist/train/Sneaker/36224.jpg,7,4,train
fmnist/train/Sneaker/24487.jpg,7,4,valid
fmnist/train/Sneaker/36034.jpg,7,4,train
fmnist/train/Sneaker/35107.jpg,7,4,train
